City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Caravelas,BR,73.87,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
280,Cockburn Town,TC,80.47,clear sky,21.4612,-71.1419,Osprey Beach Hotel
283,Lorengau,PG,83.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
286,Gbarnga,LR,70.07,light rain,6.9956,-9.4722,Passion Hotel 2
288,Palauig,PH,82.85,broken clouds,15.435,119.9045,Alperi Botique Resort
297,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
307,Pimenta Bueno,BR,72.95,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
311,Mudgee,AU,78.62,clear sky,-32.5943,149.5871,Parklands Resort & Conference Centre
317,Mapiripan,CO,75.16,broken clouds,2.8892,-72.1256,Monserrate
320,Ahuimanu,US,80.31,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
323,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
324,Alice Town,BS,74.44,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
326,Ondjiva,AO,71.69,overcast clouds,-17.0667,15.7333,COMBUESA
327,Kupang,ID,88.38,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
329,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
332,Puerto Maldonado,PE,73.33,overcast clouds,-12.6,-69.1833,Wasai Hotel
338,Beira,MZ,73.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
341,Coruripe,BR,77.16,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
345,Voh,NC,86.32,light rain,-20.9667,164.7,Le gîte du Koniambo
346,Noumea,NC,84.99,heavy intensity rain,-22.2763,166.4572,Hôtel Le Lagon
348,Weston,US,71.62,clear sky,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
349,Saint-Pierre,RE,75.18,broken clouds,-21.3393,55.4781,Lindsey Hôtel
352,Pundaguitan,PH,83.14,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
354,Mpraeso,GH,70.86,broken clouds,6.5932,-0.7346,JAYS Lodge
356,Mogadishu,SO,81.01,overcast clouds,2.0371,45.3438,Hotel Juba
359,Salalah,OM,72.25,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
363,Alofi,NU,73.29,shower rain,-19.0595,-169.9187,Taloa Heights
368,Bandarbeyla,SO,74.26,clear sky,9.4942,50.8122,JABIR HOTEL
370,Denpasar,ID,85.71,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
373,Imbituba,BR,71.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
374,Hambantota,LK,79.5,broken clouds,6.1241,81.1185,Bungalow 63
375,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
380,Lambarene,GA,74.82,overcast clouds,-0.7001,10.2406,Le Refuge
381,Dawei,MM,82.54,overcast clouds,14.0833,98.2,Hotel Dawei
386,Mananara,MG,73.53,light rain,-16.1667,49.7667,Chez Roger
387,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
393,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
395,Port Macquarie,AU,76.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
397,Kampong Thum,KH,77.59,broken clouds,12.7111,104.8887,Sambor Village Hotel
401,Januaria,BR,70.5,light rain,-15.4833,-44.3667,Hotel Paraguassu
404,Port Blair,IN,78.84,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
405,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
410,Maumere,ID,85.06,overcast clouds,-8.6199,122.2111,Sylvia Hotel
415,Ulladulla,AU,85.77,few clouds,-35.35,150.4667,Sandpiper Motel
420,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
426,Collie,AU,70.99,clear sky,-33.3667,116.15,Collie Ridge
430,Mumford,GH,79.36,overcast clouds,5.2618,-0.759,Spanish Villa
434,Maragogi,BR,78.1,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
436,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
438,Cururupu,BR,77.0,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
440,Samarai,PG,86.45,overcast clouds,-10.6167,150.6667,Nuli Sapi
450,Kieta,PG,85.75,light rain,-6.2167,155.6333,Uruna Bay Retreat
451,Acajutla,SV,78.1,clear sky,13.5928,-89.8275,asi es
452,Corn Island,NI,80.92,overcast clouds,12.1694,-83.0418,Big Fish Guest House
454,Sarh,TD,74.21,scattered clouds,9.1429,18.3923,Domicile 1sur le goudron
456,Inirida,CO,75.65,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
459,Basco,PH,73.78,broken clouds,20.4487,121.9702,Nathaniel's Lodge
463,Gambela,ET,76.69,few clouds,8.25,34.5833,Solomon Debebe Hotel
468,Loanda,AO,77.94,light rain,-8.8368,13.2343,Hotel Fórum
469,Domoni,KM,77.5,few clouds,-12.2569,44.5319,Al Djadid
470,Yenagoa,NG,76.46,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
471,Richards Bay,ZA,72.97,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
474,Kankan,GN,75.52,broken clouds,10.3854,-9.3057,Hotel Bate
475,Mananjary,MG,74.16,light rain,-21.2167,48.3333,Vahiny Lodge
481,Monte Alegre,BR,78.94,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
484,Coahuayana,MX,78.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
485,Bubaque,GW,81.59,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
493,Yanam,IN,79.2,light rain,16.7333,82.2167,The Regency Hotel
501,Trairi,BR,79.88,broken clouds,-3.2778,-39.2689,janelas do mar
504,Mattru,SL,74.95,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
506,Marsh Harbour,BS,74.55,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
507,Bull Savanna,JM,73.87,overcast clouds,17.8868,-77.5902,Big Red's
513,Dicabisagan,PH,72.81,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
516,Lethem,GY,78.51,overcast clouds,3.3803,-59.7968,Savannah Inn
519,Lazaro Cardenas,MX,77.72,clear sky,17.9583,-102.2,quinta antigua
520,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
525,Rio Grande City,US,73.74,overcast clouds,26.3798,-98.8203,La Borde House
528,Tete,MZ,80.69,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
534,Barra Do Garcas,BR,73.85,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
540,Gizo,SB,85.78,overcast clouds,-8.103,156.8419,Imagination Island
543,Linhares,BR,72.28,scattered clouds,-19.3911,-40.0722,Hotel Conceição
550,San Felipe,VE,72.77,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
553,Sao Felix Do Xingu,BR,72.37,light rain,-6.6447,-51.995,Rio Xingu Camping
557,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
559,Launceston,AU,83.61,light rain,-41.45,147.1667,Hotel Grand Chancellor Launceston
562,Sorong,ID,81.25,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
